x,y,z
373448.5,4142217.0,1279.88
373437.56,4142295.0,1300.46
373430.72,4142366.5,1342.64
373418.97,4142440.8,1359.26
373399.84,4142527.5,1348.76
373418.44,4142440.2,1359.22
373429.75,4142367.0,1342.45
373436.3,4142296.0,1300.57
373446.94,4142218.2,1280.02
373460.38,4142138.2,1278.32
373449.9,4142192.2,1279.42
373437.75,4142271.5,1292.19
373429.44,4142345.5,1327.09
373421.94,4142414.5,1364.21
373402.66,4142500.5,1348.07
373408.38,4142470.2,1350.01
373425.5,4142389.5,1360.94
373430.56,4142322.0,1312.1
373440.12,4142245.8,1285.63
373452.94,4142166.2,1279.24
373451.7,4142165.8,1279.29
373438.56,4142245.5,1285.33
373428.56,4142322.2,1311.43
373422.75,4142390.5,1357.66
373405.16,4142473.8,1348.29
373399.88,4142497.5,1347.84
373418.47,4142413.0,1362.65
373425.6,4142344.5,1325.5
373433.66,4142270.8,1290.81
373445.88,4142191.8,1280.29
373452.16,4142145.8,1278.42
373438.7,4142225.5,1281.31
373427.7,4142303.5,1301.44
373421.12,4142374.5,1345.29
373407.94,4142451.2,1356.22
373393.28,4142517.8,1348.65
373411.34,4142431.2,1357.24
373421.53,4142359.0,1334.72
373428.53,4142287.2,1295.05
373439.94,4142208.8,1279.39
373453.34,4142128.8,1278.09
373438.56,4142208.8,1279.38
373426.84,4142287.5,1294.82
373419.47,4142360.2,1334.76
373408.47,4142434.5,1355.79
373390.22,4142522.0,1348.88
373405.0,4142447.8,1354.14
373417.62,4142371.5,1342.49
373423.97,4142300.8,1299.41
373434.88,4142222.8,1280.6
373448.2,4142143.0,1278.62
373438.16,4142194.8,1279.46
373425.78,4142273.0,1289.44
373417.66,4142347.2,1325.27
373409.9,4142416.8,1361.07
373391.12,4142503.5,1348.25
373397.53,4142467.8,1347.7
373413.38,4142388.0,1352.8
373419.03,4142319.0,1306.7
373429.03,4142242.2,1282.81
373442.1,4142162.8,1279.27
373438.8,4142175.0,1280.26
373425.56,4142254.8,1284.96
373416.06,4142331.0,1313.2
373410.6,4142399.0,1360.99
373392.3,4142483.2,1347.69
373391.1,4142487.5,1347.89
373408.94,4142403.8,1360.67
373414.66,4142336.5,1316.71
373423.38,4142261.0,1285.96
373436.1,4142181.5,1279.61
373438.94,4142156.0,1279.07
373425.53,4142236.0,1281.75
373414.9,4142313.8,1303.25
373408.88,4142383.5,1348.66
373393.16,4142465.0,1347.18
373384.9,4142506.2,1348.56
373402.34,4142420.5,1355.81
373410.72,4142350.5,1325.59
373418.3,4142276.8,1289.1
373430.53,4142197.5,1279.77
373438.72,4142140.2,1279.88
373425.22,4142220.0,1280.34
373413.94,4142298.2,1297.08
373407.16,4142370.2,1338.91
373394.03,4142447.5,1348.44
373378.97,4142524.2,1349.46
373395.28,4142439.0,1349.76
373406.75,4142363.2,1333.33
373413.6,4142291.5,1293.92
373424.94,4142213.0,1279.48
373438.1,4142133.0,1278.61
373424.84,4142204.5,1279.78
373412.72,4142284.0,1290.96
373405.25,4142357.5,1329.04
373394.6,4142431.8,1350.35
373378.22,4142516.5,1349.35
373389.06,4142455.5,1346.84
373403.03,4142376.5,1342.59
373409.1,4142305.8,1299.28
373419.8,4142227.8,1281.14
373432.75,4142147.8,1278.99
373424.56,4142189.8,1280.59
373411.66,4142269.5,1286.13
373403.5,4142344.5,1320.26
373395.2,4142416.0,1352.33
373378.62,4142500.5,1348.8
373383.56,4142471.2,1347.69
373399.06,4142389.5,1350.45
373404.62,4142320.5,1305.59
373414.25,4142243.2,1281.57
373427.22,4142163.5,1279.41
373424.03,4142174.2,1279.57
373410.88,4142254.5,1282.65
373401.78,4142331.0,1311.27
373395.88,4142399.5,1354.89
373379.06,4142484.0,1348.26
373378.06,4142487.2,1348.41
373394.2,4142403.2,1353.03
373400.53,4142334.2,1313.22
373409.06,4142258.2,1283.38
373421.72,4142178.8,1279.57
373423.5,4142158.5,1279.15
373410.4,4142238.5,1280.87
373400.34,4142316.2,1303.3
373394.53,4142386.5,1348.14
373379.4,4142468.0,1347.84
373372.44,4142503.8,1349.24
373388.25,4142419.5,1351.25
373396.56,4142347.8,1321.62
373404.0,4142273.5,1286.28
373416.12,4142194.5,1279.81
373422.9,4142143.0,1278.96
373409.94,4142223.2,1280.43
373399.0,4142302.0,1296.78
373392.8,4142373.5,1339.6
373379.44,4142452.8,1346.97
373367.06,4142519.5,1350.48
373381.88,4142435.8,1346.7
373392.75,4142361.0,1330.28
373399.3,4142288.0,1291.16
373410.66,4142209.0,1279.66
373423.28,4142129.0,1278.55
373409.25,4142208.2,1279.66
373397.56,4142287.5,1290.45
373390.88,4142360.8,1330.34
373379.56,4142436.5,1346.13
373364.62,4142520.5,1350.57
373376.3,4142452.0,1347.36
373389.1,4142373.5,1339.65
373394.78,4142302.5,1296.64
373405.44,4142223.8,1281.26
373417.78,4142144.0,1278.92
373408.62,4142193.5,1280.1
373396.38,4142273.5,1286.86
373388.75,4142348.5,1321.23
373379.44,4142422.5,1346.76
373364.66,4142505.8,1350.11
373371.12,4142466.0,1348.19
373385.44,4142384.8,1347.6
373390.5,4142315.0,1302.15
373400.16,4142237.2,1281.34
373412.47,4142157.8,1279.23
373407.6,4142180.0,1279.71
373394.9,4142260.2,1282.74
373386.62,4142336.2,1312.84
373379.28,4142408.2,1347.64
373364.47,4142491.2,1349.04
373365.84,4142480.5,1348.88
373380.25,4142398.5,1348.34
373386.28,4142328.0,1308.57
373394.8,4142252.0,1282.02
373407.1,4142171.8,1279.38
373406.53,4142165.8,1279.31
373394.03,4142246.0,1281.8
373384.78,4142323.2,1305.79
373378.97,4142393.8,1348.06
373364.47,4142475.8,1348.97
373360.5,4142495.8,1349.92
373374.44,4142413.5,1346.1
373382.16,4142341.8,1316.05
373389.47,4142266.8,1282.97
373401.66,4142187.0,1279.86
373405.66,4142150.8,1279.05
373393.34,4142230.5,1281.44
373382.9,4142309.2,1297.88
373377.88,4142380.0,1344.06
373364.47,4142459.8,1348.41
373355.0,4142512.0,1350.95
373369.1,4142428.8,1346.83
373378.47,4142354.5,1325.11
373384.28,4142281.2,1284.14
373396.28,4142201.0,1279.68
373404.56,4142136.8,1278.84
373392.4,4142216.8,1281.2
373380.8,4142296.8,1289.97
373375.5,4142368.5,1334.5
373364.2,4142445.2,1347.98
373349.7,4142527.2,1351.74
373364.0,4142443.0,1348.0
373374.84,4142366.5,1333.29
373379.88,4142295.0,1289.16
373391.25,4142215.2,1281.28
373403.06,4142135.0,1278.83
373391.34,4142202.5,1279.72
373379.38,4142282.8,1285.12
373373.3,4142356.5,1325.59
373363.75,4142431.5,1347.54
373349.53,4142515.0,1351.54
373358.9,4142457.0,1348.82
373371.12,4142378.5,1341.1
373375.62,4142308.2,1295.3
373385.9,4142230.2,1281.53
373397.7,4142150.0,1279.03
373390.56,4142187.8,1279.94
373378.44,4142268.0,1283.19
373370.97,4142343.2,1314.97
373363.38,4142415.5,1345.69
373349.8,4142497.5,1350.92
373353.28,4142473.8,1349.71
373366.34,4142393.2,1345.33
373371.3,4142324.0,1303.26
373380.4,4142246.5,1282.67
373392.03,4142166.2,1279.26
373389.75,4142171.5,1279.54
373377.9,4142251.5,1283.41
373368.94,4142329.0,1306.39
373362.9,4142400.5,1345.18
373349.62,4142481.5,1350.11
373347.75,4142489.8,1350.66
373360.8,4142408.5,1345.45
373367.2,4142336.8,1310.11
373375.22,4142260.0,1283.6
373386.8,4142180.0,1279.89
373388.5,4142157.8,1279.1
373376.78,4142238.0,1282.86
373366.88,4142316.8,1299.94
373362.12,4142386.8,1344.66
373349.12,4142467.2,1349.7
373342.44,4142504.2,1351.65
373355.7,4142422.0,1346.62
373363.53,4142349.0,1319.41
373370.12,4142274.0,1285.36
373381.56,4142193.8,1280.31
373387.22,4142143.8,1278.96
373375.47,4142224.0,1281.56
373365.06,4142303.2,1294.82
373359.94,4142374.8,1337.67
373348.5,4142453.0,1349.33
373337.03,4142519.2,1352.53
373350.6,4142435.5,1348.25
373359.66,4142361.0,1327.42
373365.38,4142287.5,1289.08
373376.22,4142207.8,1280.68
373385.84,4142130.0,1278.54
373374.2,4142210.5,1281.03
373363.25,4142290.2,1290.37
373357.62,4142363.2,1330.66
373347.78,4142438.2,1348.47
373333.9,4142522.2,1352.75
373345.2,4142450.2,1349.41
373355.97,4142373.8,1337.6
373360.78,4142302.5,1295.44
373370.72,4142223.5,1281.72
373382.0,4142143.2,1278.78
373373.03,4142194.5,1279.87
373361.97,4142274.5,1287.52
373355.5,4142349.2,1322.87
373347.06,4142423.0,1347.43
373333.66,4142505.5,1352.43
373339.5,4142466.0,1350.15
373351.9,4142386.0,1344.93
373356.62,4142315.5,1302.88
373365.4,4142237.5,1282.71
373376.66,4142157.5,1279.35
373371.78,4142180.2,1280.01
373360.56,4142260.2,1286.05
373353.0,4142336.5,1315.09
373345.97,4142409.0,1346.67
373332.94,4142490.5,1352.04
373334.03,4142480.2,1351.66
373346.5,4142399.8,1345.96
373352.5,4142328.0,1310.79
373360.22,4142251.5,1284.76
373371.25,4142171.5,1279.88
373370.25,4142166.5,1279.63
373358.94,4142246.8,1284.38
373350.72,4142323.8,1309.27
373344.7,4142395.5,1345.73
373332.1,4142475.8,1351.75
373328.38,4142495.2,1352.69
373341.06,4142413.8,1347.16
373348.44,4142340.8,1319.46
373355.3,4142265.5,1288.87
373365.72,4142185.8,1280.16
373368.88,4142152.0,1279.18
373357.47,4142232.2,1282.7
373348.88,4142310.0,1305.19
373343.66,4142381.2,1345.3
373331.1,4142461.2,1350.65
373322.62,4142510.5,1353.51
373335.75,4142427.8,1348.9
373344.78,4142353.2,1329.71
373350.6,4142279.8,1293.79
373360.16,4142200.5,1279.85
373367.53,4142137.2,1278.67
373356.1,4142217.5,1281.43
373347.03,4142296.0,1300.66
373341.56,4142368.5,1339.84
373330.22,4142446.8,1350.22
373316.84,4142526.0,1354.3
373330.28,4142442.0,1350.04
373341.03,4142364.8,1338.8
373346.2,4142292.8,1300.04
373355.2,4142214.2,1282.61
373366.1,4142134.0,1278.59
373354.62,4142203.8,1280.78
373345.34,4142282.5,1297.97
373339.1,4142356.2,1332.93
373329.2,4142432.2,1349.99
373315.62,4142516.0,1354.22
373324.75,4142456.2,1351.52
373336.75,4142377.0,1345.82
373341.88,4142306.8,1308.05
373349.53,4142229.5,1282.71
373360.56,4142149.2,1279.13
373353.28,4142188.5,1279.78
373343.3,4142268.0,1292.85
373336.88,4142342.8,1326.85
373328.22,4142416.8,1349.23
373315.03,4142499.2,1354.01
373318.94,4142472.0,1353.14
373330.9,4142393.0,1347.08
373337.38,4142321.5,1316.12
373344.2,4142245.8,1286.17
373354.8,4142165.8,1279.56
373352.28,4142172.0,1279.69
373341.6,4142252.0,1288.1
373334.8,4142327.8,1320.2
373327.84,4142399.2,1349.8
373314.78,4142480.5,1353.68
373312.5,4142490.5,1354.0
373325.3,4142409.2,1349.89
373332.94,4142336.5,1324.62
373339.2,4142261.8,1291.6
373349.1,4142182.5,1280.13
373351.25,4142155.2,1279.25
373340.12,4142235.5,1284.57
373333.06,4142312.0,1315.21
373326.5,4142384.8,1348.23
373313.88,4142465.0,1353.5
373306.44,4142506.2,1354.84
373319.66,4142423.8,1351.25
373329.53,4142348.8,1337.44
373334.56,4142276.2,1298.15
373343.38,4142197.8,1279.91
373350.06,4142140.0,1279.06
373338.56,4142220.2,1281.95
373330.97,4142297.8,1309.61
373325.28,4142369.8,1347.0
373313.0,4142449.0,1352.97
373300.12,4142523.2,1355.65
373313.78,4142439.2,1352.49
373325.5,4142361.2,1346.31
373330.22,4142290.0,1305.86
373337.94,4142212.5,1281.07
373349.2,4142132.0,1278.95
373337.28,4142204.8,1280.57
373328.75,4142282.8,1302.55
373324.25,4142354.2,1346.29
373312.12,4142432.8,1352.22
373298.22,4142516.5,1355.66
373307.72,4142455.5,1353.75
373319.97,4142376.2,1348.94
373326.0,4142304.5,1315.38
373332.62,4142228.2,1284.18
373343.56,4142148.2,1279.3
373335.8,4142189.8,1279.4
373326.5,4142268.8,1297.13
373321.62,4142341.2,1339.18
373311.03,4142417.8,1352.36
373297.28,4142500.5,1355.46
373301.62,4142470.8,1354.67
373314.1,4142390.8,1349.58
373321.9,4142317.5,1325.09
373327.4,4142243.0,1287.62
373337.97,4142163.0,1279.71
373334.72,4142174.8,1279.75
373324.5,4142254.2,1291.96
373318.97,4142328.2,1331.04
373310.06,4142402.5,1352.23
373296.53,4142484.2,1355.22
373295.47,4142486.8,1355.39
373308.72,4142405.2,1352.45
373317.53,4142331.5,1332.93
373322.7,4142258.2,1293.85
373332.38,4142179.0,1279.94
373333.84,4142158.8,1279.74
373322.8,4142238.5,1286.91
373317.03,4142313.5,1325.02
373309.03,4142386.5,1350.63
373296.0,4142467.0,1355.02
373289.1,4142504.5,1356.37
373302.56,4142422.0,1352.94
